masse_A
t;x;y;frame
1,430535556E1;-1,730451232E2;3,805850604E2;8,570000000E2
1,432202222E1;-1,730797439E2;3,805812090E2;8,580000000E2
1,433867778E1;-1,730765767E2;3,805727892E2;8,590000000E2
1,435534444E1;-1,730515484E2;3,805829093E2;8,600000000E2
1,437201111E1;-1,730450776E2;3,806085536E2;8,610000000E2
1,438866667E1;-1,730621006E2;3,806553581E2;8,620000000E2
1,440532222E1;-1,730604415E2;3,806164510E2;8,630000000E2
1,442200000E1;-1,730770356E2;3,806642760E2;8,640000000E2
1,443865556E1;-1,731810286E2;3,807123527E2;8,650000000E2
1,445532222E1;-1,731472684E2;3,807179302E2;8,660000000E2
1,447197778E1;-1,732176290E2;3,808253257E2;8,670000000E2
1,448864444E1;-1,732199750E2;3,807346869E2;8,680000000E2
1,450531111E1;-1,732174556E2;3,807369058E2;8,690000000E2
1,452196667E1;-1,734293610E2;3,807988042E2;8,700000000E2
1,453862222E1;-1,732783711E2;3,807472048E2;8,710000000E2
1,455530000E1;-1,732422017E2;3,806587023E2;8,720000000E2
1,457195556E1;-1,732065604E2;3,806548094E2;8,730000000E2
1,458861111E1;-1,731807686E2;3,806261378E2;8,740000000E2
1,460527778E1;-1,731259398E2;3,806857617E2;8,750000000E2
1,462194444E1;-1,730708558E2;3,806311685E2;8,760000000E2
1,463861111E1;-1,730588726E2;3,806059124E2;8,770000000E2
1,465528889E1;-1,730890505E2;3,805665472E2;8,780000000E2
1,467193333E1;-1,730479515E2;3,805538063E2;8,790000000E2
1,468861111E1;-1,730000000E2;3,820000000E2;8,800000000E2
1,470525556E1;-1,750000000E2;3,835000000E2;8,810000000E2
1,472193333E1;-1,755000000E2;3,845000000E2;8,820000000E2
1,473857778E1;-1,755013427E2;3,845195773E2;8,830000000E2
1,475524444E1;-1,755506331E2;3,845148054E2;8,840000000E2
1,477191111E1;-1,755597380E2;3,845687912E2;8,850000000E2
1,478858889E1;-1,755179289E2;3,845391308E2;8,860000000E2
1,480524444E1;-1,755253284E2;3,845514376E2;8,870000000E2
1,482188889E1;-1,755888437E2;3,846103131E2;8,880000000E2
1,483855556E1;-1,755937352E2;3,846034213E2;8,890000000E2
1,485522222E1;-1,756325527E2;3,846344979E2;8,900000000E2
1,487188889E1;-1,755929680E2;3,845937284E2;8,910000000E2
1,488854444E1;-1,756533696E2;3,847168126E2;8,920000000E2
1,490521111E1;-1,756338064E2;3,846050423E2;8,930000000E2
1,492186667E1;-1,756197069E2;3,846032491E2;8,940000000E2
1,493853333E1;-1,755744943E2;3,845775225E2;8,950000000E2
1,495520000E1;-1,755405604E2;3,845689004E2;8,960000000E2
1,497185556E1;-1,755429305E2;3,846122546E2;8,970000000E2
1,498851111E1;-1,755294716E2;3,846015172E2;8,980000000E2
1,500518889E1;-1,755270054E2;3,845879232E2;8,990000000E2
1,502184444E1;-1,756112123E2;3,846039131E2;9,000000000E2
1,503851111E1;-1,755952386E2;3,845949242E2;9,010000000E2
1,505517778E1;-1,755606341E2;3,846247185E2;9,020000000E2
1,507182222E1;-1,755404504E2;3,846029330E2;9,030000000E2
1,508848889E1;-1,755603482E2;3,845849193E2;9,040000000E2
1,510515556E1;-1,755513560E2;3,845695465E2;9,050000000E2
1,512182222E1;-1,755805335E2;3,845973056E2;9,060000000E2
1,513847778E1;-1,756406887E2;3,845982935E2;9,070000000E2
1,515515556E1;-1,756103062E2;3,846262752E2;9,080000000E2
1,517183333E1;-1,756011970E2;3,846272041E2;9,090000000E2
1,518847778E1;-1,756563564E2;3,846432293E2;9,100000000E2
1,520513333E1;-1,755838906E2;3,846032541E2;9,110000000E2
1,522180000E1;-1,754217819E2;3,845865536E2;9,120000000E2
1,523844444E1;-1,754790099E2;3,844443046E2;9,130000000E2
1,525512222E1;-1,754399727E2;3,846050064E2;9,140000000E2
1,527178889E1;-1,747200127E2;3,841176827E2;9,150000000E2
1,528844444E1;-1,748398570E2;3,846297105E2;9,160000000E2
1,530511111E1;-1,745288189E2;3,844216020E2;9,170000000E2
1,532176667E1;-1,746151761E2;3,845992979E2;9,180000000E2
1,533843333E1;-1,744843384E2;3,844924046E2;9,190000000E2
1,535511111E1;-1,745465800E2;3,845862666E2;9,200000000E2
1,537175556E1;-1,745265569E2;3,845358894E2;9,210000000E2
1,538850000E1;-1,746181926E2;3,845952097E2;9,220000000E2
1,540507778E1;-1,747578444E2;3,846295446E2;9,230000000E2
1,542175556E1;-1,751878995E2;3,847850669E2;9,240000000E2
1,543841111E1;-1,753874388E2;3,847703273E2;9,250000000E2
1,545507778E1;-1,755221313E2;3,847101552E2;9,260000000E2
1,547173333E1;-1,755583216E2;3,847819308E2;9,270000000E2
1,548841111E1;-1,756650493E2;3,848858583E2;9,280000000E2
1,550506667E1;-1,756385244E2;3,848065600E2;9,290000000E2
1,552172222E1;-1,756217022E2;3,847442545E2;9,300000000E2
1,553838889E1;-1,756160448E2;3,846989944E2;9,310000000E2
1,555505556E1;-1,755204998E2;3,845729836E2;9,320000000E2
1,557171111E1;-1,754917849E2;3,845483934E2;9,330000000E2
1,558837778E1;-1,754699772E2;3,845554152E2;9,340000000E2
1,560503333E1;-1,753970072E2;3,845745392E2;9,350000000E2
1,562170000E1;-1,753813847E2;3,845986569E2;9,360000000E2
1,563836667E1;-1,754089214E2;3,845794723E2;9,370000000E2
1,565502222E1;-1,754286018E2;3,846115293E2;9,380000000E2
1,567168889E1;-1,753899502E2;3,846521648E2;9,390000000E2
1,568836667E1;-1,754510117E2;3,846008542E2;9,400000000E2
1,570501111E1;-1,754947338E2;3,845787811E2;9,410000000E2
1,572168889E1;-1,755411596E2;3,846154195E2;9,420000000E2
1,573833333E1;-1,755500793E2;3,846364987E2;9,430000000E2
1,575501111E1;-1,756733235E2;3,847376441E2;9,440000000E2
1,577166667E1;-1,758082081E2;3,847448286E2;9,450000000E2
1,578832222E1;-1,761357050E2;3,846883863E2;9,460000000E2
1,580498889E1;-1,762863566E2;3,846956910E2;9,470000000E2
1,582164444E1;-1,763663317E2;3,847406509E2;9,480000000E2
1,583831111E1;-1,764032547E2;3,846959261E2;9,490000000E2
1,585498889E1;-1,764245814E2;3,846320167E2;9,500000000E2
1,587163333E1;-1,764888817E2;3,845867376E2;9,510000000E2
1,588830000E1;-1,764810830E2;3,845714407E2;9,520000000E2
1,590496667E1;-1,764682038E2;3,845840408E2;9,530000000E2
1,592162222E1;-1,764723274E2;3,845596192E2;9,540000000E2
1,593828889E1;-1,764711261E2;3,845892885E2;9,550000000E2
1,595495556E1;-1,764645331E2;3,846322361E2;9,560000000E2
